,index_type,M,efConstruction,ef,recall,query_per_sec,loss
5730,HNSW,14,308,17200,100.0,2632.562576887349,-2627.562576887349
5731,HNSW,14,308,17300,100.0,2577.9689977750186,-2572.9689977750186
5732,HNSW,14,308,17400,100.0,2556.489196355103,-2551.489196355103
5733,HNSW,14,308,17500,100.0,2547.978592213252,-2542.978592213252
5734,HNSW,14,308,17600,100.0,2538.8480978178627,-2533.8480978178627
5735,HNSW,14,308,17700,100.0,2558.750610053685,-2553.750610053685
5736,HNSW,14,308,17800,100.0,2139.732680338741,-2134.732680338741
5737,HNSW,14,308,17900,100.0,2522.024929798505,-2517.024929798505
5738,HNSW,14,308,18000,100.0,2552.071506367547,-2547.071506367547
5739,HNSW,14,308,18100,100.0,2547.700007896447,-2542.700007896447
5740,HNSW,14,308,18200,100.0,2554.1228983600968,-2549.1228983600968
5741,HNSW,14,308,18300,100.0,2544.238269994844,-2539.238269994844
5742,HNSW,14,308,18400,100.0,2526.536955605084,-2521.536955605084
5743,HNSW,14,308,18500,100.0,2540.247344259118,-2535.247344259118
5744,HNSW,14,308,18600,100.0,2556.177590882774,-2551.177590882774
5745,HNSW,14,308,18700,100.0,2572.8927302952416,-2567.8927302952416
5746,HNSW,14,308,18800,100.0,2562.6433516016887,-2557.6433516016887
5747,HNSW,14,308,18900,100.0,2558.360425752539,-2553.360425752539
5748,HNSW,14,308,19000,100.0,2536.591030044995,-2531.591030044995
5749,HNSW,14,308,19100,100.0,2483.747261206845,-2478.747261206845
5750,HNSW,14,308,19200,100.0,2574.076983503535,-2569.076983503535
5751,HNSW,14,308,19300,100.0,1944.2737546702765,-1939.2737546702765
5752,HNSW,14,308,19400,100.0,2641.582063232145,-2636.582063232145
5753,HNSW,14,308,19500,100.0,2530.805527062089,-2525.805527062089
5754,HNSW,14,308,19600,100.0,2545.180042962729,-2540.180042962729
5755,HNSW,14,308,19700,100.0,2541.9870182604955,-2536.9870182604955
5756,HNSW,14,308,19800,100.0,2469.7655247135303,-2464.7655247135303
5757,HNSW,14,308,19900,100.0,2404.136144260641,-2399.136144260641
5758,HNSW,14,308,20000,100.0,1995.3018186661843,-1990.3018186661843
5759,HNSW,14,308,20100,100.0,2239.4225122000703,-2234.4225122000703
5760,HNSW,14,308,20200,100.0,2509.545634042146,-2504.545634042146
5761,HNSW,14,308,20300,100.0,2579.1579296901423,-2574.1579296901423
5762,HNSW,14,308,20400,100.0,2710.4091813787577,-2705.4091813787577
5763,HNSW,14,308,20500,100.0,2565.0568442424947,-2560.0568442424947
5764,HNSW,14,308,20600,100.0,2716.9404570658653,-2711.9404570658653
5765,HNSW,14,308,20700,100.0,2471.9051856741257,-2466.9051856741257
5766,HNSW,14,308,20800,100.0,2410.2009504490784,-2405.2009504490784
5767,HNSW,14,308,20900,100.0,2420.940716070903,-2415.940716070903
5768,HNSW,14,308,21000,100.0,2554.340663690676,-2549.340663690676
5769,HNSW,14,308,21100,100.0,2514.932604211637,-2509.932604211637
5770,HNSW,14,308,21200,100.0,2594.9712928133044,-2589.9712928133044
5771,HNSW,14,308,21300,100.0,2534.016433059449,-2529.016433059449
5772,HNSW,14,308,21400,100.0,2350.355833996436,-2345.355833996436
5773,HNSW,14,308,21500,100.0,2047.130369423145,-2042.130369423145
5774,HNSW,14,308,21600,100.0,2564.4922441043577,-2559.4922441043577
5775,HNSW,14,308,21700,100.0,2531.3859450063974,-2526.3859450063974
5776,HNSW,14,308,21800,100.0,2539.5859697136666,-2534.5859697136666
5777,HNSW,14,308,21900,100.0,2520.600236777423,-2515.600236777423
5778,HNSW,14,308,22000,100.0,2399.3501515931584,-2394.3501515931584
5779,HNSW,14,308,22100,100.0,2434.387732596608,-2429.387732596608
5780,HNSW,14,308,22200,100.0,2152.360034895058,-2147.360034895058
5781,HNSW,14,308,22300,100.0,2681.9858301148424,-2676.9858301148424
5782,HNSW,14,308,22400,100.0,2559.7344025583284,-2554.7344025583284
5783,HNSW,14,308,22500,100.0,2520.085318592844,-2515.085318592844
5784,HNSW,14,308,22600,100.0,2551.7765015088094,-2546.7765015088094
5785,HNSW,14,308,22700,100.0,2560.8127579554057,-2555.8127579554057
5786,HNSW,14,308,22800,100.0,2614.315988930165,-2609.315988930165
5787,HNSW,14,308,22900,100.0,2555.30549954003,-2550.30549954003
5788,HNSW,14,308,23000,100.0,2422.8706105260726,-2417.8706105260726
5789,HNSW,14,308,23100,100.0,2688.690880652316,-2683.690880652316
5790,HNSW,14,308,23200,100.0,2602.0869781003785,-2597.0869781003785
5791,HNSW,14,308,23300,100.0,2583.081243533527,-2578.081243533527
5792,HNSW,14,308,23400,100.0,2529.8896193980336,-2524.8896193980336
5793,HNSW,14,308,23500,100.0,2587.223963088159,-2582.223963088159
5794,HNSW,14,308,23600,100.0,2571.8987993770006,-2566.8987993770006
5795,HNSW,14,308,23700,100.0,2088.4535907943414,-2083.4535907943414
5796,HNSW,14,308,23800,100.0,2531.5845701627845,-2526.5845701627845
5797,HNSW,14,308,23900,100.0,2484.718371602569,-2479.718371602569
5798,HNSW,14,308,24000,100.0,2436.7779230210604,-2431.7779230210604
5799,HNSW,14,308,24100,100.0,2452.020695098068,-2447.020695098068
5800,HNSW,14,308,24200,100.0,2707.8369217857257,-2702.8369217857257
5801,HNSW,14,308,24300,100.0,2466.4541851411905,-2461.4541851411905
5802,HNSW,14,308,24400,100.0,1843.9175792532544,-1838.9175792532544
5803,HNSW,14,308,24500,100.0,2467.368272437953,-2462.368272437953
5804,HNSW,14,308,24600,100.0,2616.746211483152,-2611.746211483152
5805,HNSW,14,308,24700,100.0,2596.625992855772,-2591.625992855772
5806,HNSW,14,308,24800,100.0,2610.1835832970314,-2605.1835832970314
5807,HNSW,14,308,24900,100.0,2597.8804714743173,-2592.8804714743173
5808,HNSW,14,308,25000,100.0,2572.04074248956,-2567.04074248956
5809,HNSW,14,308,25100,100.0,2470.7548392417443,-2465.7548392417443
5810,HNSW,14,308,25200,100.0,2503.344713156827,-2498.344713156827
5811,HNSW,14,308,25300,100.0,2316.6422720669866,-2311.6422720669866
5812,HNSW,14,308,25400,100.0,2640.9666471473456,-2635.9666471473456
5813,HNSW,14,308,25500,100.0,2485.587128507512,-2480.587128507512
5814,HNSW,14,308,25600,100.0,2461.056053324884,-2456.056053324884
5815,HNSW,14,308,25700,100.0,2641.7484411412734,-2636.7484411412734
5816,HNSW,14,308,25800,100.0,2584.832312375975,-2579.832312375975
5817,HNSW,14,308,25900,100.0,1942.4099141863448,-1937.4099141863448
5818,HNSW,14,308,26000,100.0,2472.123726895511,-2467.123726895511
5819,HNSW,14,308,26100,100.0,2551.3729211528403,-2546.3729211528403
5820,HNSW,14,308,26200,100.0,2521.085057913433,-2516.085057913433
5821,HNSW,14,308,26300,100.0,2566.280997803462,-2561.280997803462
5822,HNSW,14,308,26400,100.0,2476.312604426811,-2471.312604426811
5823,HNSW,14,308,26500,100.0,2483.350207522928,-2478.350207522928
5824,HNSW,14,308,26600,100.0,2054.299316262759,-2049.299316262759
5825,HNSW,14,308,26700,100.0,2405.059778089968,-2400.059778089968
5826,HNSW,14,308,26800,100.0,2504.67517422175,-2499.67517422175
5827,HNSW,14,308,26900,100.0,2542.927125015157,-2537.927125015157
5828,HNSW,14,308,27000,100.0,2504.8546704330324,-2499.8546704330324
5829,HNSW,14,308,27100,100.0,2516.01881178616,-2511.01881178616
5830,HNSW,14,308,27200,100.0,2535.2877530419432,-2530.2877530419432
5831,HNSW,14,308,27300,100.0,2564.3824896062606,-2559.3824896062606
5832,HNSW,14,308,27400,100.0,2541.7867574872434,-2536.7867574872434
5833,HNSW,14,308,27500,100.0,2542.0948640556626,-2537.0948640556626
5834,HNSW,14,308,27600,100.0,2558.00156128025,-2553.00156128025
5835,HNSW,14,308,27700,100.0,2494.056085436339,-2489.056085436339
5836,HNSW,14,308,27800,100.0,2521.949107701188,-2516.949107701188
5837,HNSW,14,308,27900,100.0,2561.2036906993644,-2556.2036906993644
5838,HNSW,14,308,28000,100.0,2568.874407437804,-2563.874407437804
5839,HNSW,14,308,28100,100.0,2036.5147726445095,-2031.5147726445095
5840,HNSW,14,308,28200,100.0,2514.9929244717337,-2509.9929244717337
5841,HNSW,14,308,28300,100.0,2429.3258732834065,-2424.3258732834065
5842,HNSW,14,308,28400,100.0,2382.2745267319083,-2377.2745267319083
5843,HNSW,14,308,28500,100.0,2457.76801148516,-2452.76801148516
5844,HNSW,14,308,28600,100.0,2799.842461867094,-2794.842461867094
5845,HNSW,14,308,28700,100.0,2453.943049713025,-2448.943049713025
5846,HNSW,14,308,28800,100.0,1970.9334235555052,-1965.9334235555052
5847,HNSW,14,308,28900,100.0,2693.456287486675,-2688.456287486675
5848,HNSW,14,308,29000,100.0,2618.9847018420232,-2613.9847018420232
5849,HNSW,14,308,29100,100.0,2579.665541143114,-2574.665541143114
5850,HNSW,14,308,29200,100.0,2468.3847199580982,-2463.3847199580982
5851,HNSW,14,308,29300,100.0,2629.360949861458,-2624.360949861458
5852,HNSW,14,308,29400,100.0,2587.208004095807,-2582.208004095807
5853,HNSW,14,308,29500,100.0,2565.8414236512567,-2560.8414236512567
5854,HNSW,14,308,29600,100.0,2460.926095425849,-2455.926095425849
5855,HNSW,14,308,29700,100.0,2541.2477506679834,-2536.2477506679834
5856,HNSW,14,308,29800,100.0,2552.8481609748083,-2547.8481609748083
5857,HNSW,14,308,29900,100.0,2545.550767736845,-2540.550767736845
5858,HNSW,14,308,30000,100.0,2473.217012895884,-2468.217012895884
5859,HNSW,14,308,30100,100.0,2589.5880667786228,-2584.5880667786228
5860,HNSW,14,308,30200,100.0,2504.241497898357,-2499.241497898357
5861,HNSW,14,308,30300,100.0,2059.8076866411952,-2054.8076866411952
5862,HNSW,14,308,30400,100.0,2598.846280151929,-2593.846280151929
5863,HNSW,14,308,30500,100.0,2319.6916150940474,-2314.6916150940474
5864,HNSW,14,308,30600,100.0,2492.440620153196,-2487.440620153196
5865,HNSW,14,308,30700,100.0,2551.6988799863725,-2546.6988799863725
5866,HNSW,14,308,30800,100.0,2369.6632768361583,-2364.6632768361583
5867,HNSW,14,308,30900,100.0,2577.129480003195,-2572.129480003195
5868,HNSW,14,308,31000,100.0,2055.4167626347025,-2050.4167626347025
