index_type, nlist, nprobe, recall, query_per_sec, loss
IVF_FLAT,10801,1001,100,10219.29196208854,10224.29196208854
IVF_FLAT,10901,1,24.88,14222.800949474398,7026222.800949475
IVF_FLAT,10901,101,100,12136.296296296296,12141.296296296296
IVF_FLAT,10901,201,100,10853.981316150403,10858.981316150403
IVF_FLAT,10901,301,100,8925.000531971486,8930.000531971486
IVF_FLAT,10901,401,100,9106.767700892373,9111.767700892373
IVF_FLAT,10901,501,100,8699.348736881404,8704.348736881404
IVF_FLAT,10901,601,100,8820.828601472134,8825.828601472134
IVF_FLAT,10901,701,100,9463.04176161361,9468.04176161361
IVF_FLAT,10901,801,100,9615.33206483116,9620.33206483116
IVF_FLAT,10901,901,100,8680.624198021442,8685.624198021442
IVF_FLAT,10901,1001,100,9617.536859966522,9622.536859966522
IVF_FLAT,11001,1,24.88,13959.144007721237,7025959.144007721
IVF_FLAT,11001,101,100,12705.39197867442,12710.39197867442
IVF_FLAT,11001,201,100,10075.195772279607,10080.195772279607
IVF_FLAT,11001,301,100,9550.089938295498,9555.089938295498
IVF_FLAT,11001,401,100,9540.314803020654,9545.314803020654
IVF_FLAT,11001,501,100,9707.014742299058,9712.014742299058
IVF_FLAT,11001,601,100,9495.17578611369,9500.17578611369
IVF_FLAT,11001,701,100,9429.004338736146,9434.004338736146
IVF_FLAT,11001,801,100,8429.575738087104,8434.575738087104
IVF_FLAT,11001,901,100,9675.21856473899,9680.21856473899
IVF_FLAT,11001,1001,100,9573.850719013924,9578.850719013924
IVF_FLAT,11101,1,24.88,13219.982979796388,7025219.982979797
IVF_FLAT,11101,101,100,10692.390445356514,10697.390445356514
IVF_FLAT,11101,201,100,11090.174510840825,11095.174510840825
IVF_FLAT,11101,301,100,9829.401701389703,9834.401701389703
IVF_FLAT,11101,401,100,8815.637479507335,8820.637479507335
IVF_FLAT,11101,501,100,8577.83504100456,8582.83504100456
IVF_FLAT,11101,601,100,9844.39750269915,9849.39750269915
IVF_FLAT,11101,701,100,9534.242589561738,9539.242589561738
IVF_FLAT,11101,801,100,9169.080097936341,9174.080097936341
IVF_FLAT,11101,901,100,10156.683456024797,10161.683456024797
IVF_FLAT,11101,1001,100,8757.655607291254,8762.655607291254
IVF_FLAT,11101,1101,100,9638.975961759434,9643.975961759434
IVF_FLAT,11201,1,24.88,14209.309573819364,7026209.309573819
IVF_FLAT,11201,101,100,12908.331025143878,12913.331025143878
IVF_FLAT,11201,201,100,11066.181204158092,11071.181204158092
IVF_FLAT,11201,301,100,7992.499714165936,7997.499714165936
IVF_FLAT,11201,401,100,7999.511748550503,8004.511748550503
IVF_FLAT,11201,501,100,8825.654406194764,8830.654406194764
IVF_FLAT,11201,601,100,10284.694227845619,10289.694227845619
IVF_FLAT,11201,701,100,9109.53673739765,9114.53673739765
IVF_FLAT,11201,801,100,10121.389961389961,10126.389961389961
IVF_FLAT,11201,901,100,9842.08747888117,9847.08747888117
IVF_FLAT,11201,1001,100,10210.584741224013,10215.584741224013
