index_type,m,nlist,nprobe,recall,query_per_sec,loss
IVF_PQ,4,301,100,61.47,12365.647572157199,3340634.352427843
IVF_PQ,8,301,1,24.83,11263.505021751973,7005736.494978248
IVF_PQ,8,301,30,70.43,15088.509964745665,2441911.490035254
IVF_PQ,8,301,100,70.69,11008.671916010499,2419991.3280839897
IVF_PQ,16,301,1,24.84,9763.504737074885,7006236.4952629255
IVF_PQ,16,301,30,80.52,13743.705354217183,1434256.2946457833
IVF_PQ,16,301,100,81.13,12593.994715349507,1374406.005284651
IVF_PQ,32,301,1,24.86,8140.95999689447,7005859.040003105
IVF_PQ,32,301,30,87.3,11852.66905925905,758147.3309407412
IVF_PQ,32,301,100,88.42,9821.575927877298,648178.4240721226
IVF_PQ,64,301,1,24.88,865.1456552993035,7011134.8543447
IVF_PQ,64,301,30,93.03,5210.833374745316,191789.16662525455
IVF_PQ,64,301,100,94.44,5169.66462475195,50830.33537524827
IVF_PQ,128,301,1,24.88,821.9032912940218,7011178.096708706
IVF_PQ,128,301,30,95.97,5521.000394892721,-5520.03039489272
IVF_PQ,128,301,100,98.1,2520.721424579159,-2517.621424579159
IVF_PQ,1,401,1,24.64,14656.174435669858,7021343.82556433
IVF_PQ,1,401,40,49.5,14908.840152134504,4535091.159847866
IVF_PQ,1,401,100,49.5,15327.257445642244,4534672.742554358
IVF_PQ,2,401,1,24.76,14613.790460262708,7009386.209539737
IVF_PQ,2,401,40,55.4,16685.777936905757,3943314.2220630944
IVF_PQ,2,401,100,55.37,15378.39700813962,3947621.602991861
IVF_PQ,4,401,1,24.81,12419.471751747009,7006580.528248253
IVF_PQ,4,401,40,61.45,15896.547280651885,3339103.4527193476
IVF_PQ,4,401,100,61.47,14602.597221738677,3338397.4027782613
IVF_PQ,8,401,1,24.83,12015.653020884063,7004984.346979116
IVF_PQ,8,401,40,70.54,15378.960877057896,2430621.0391229414
IVF_PQ,8,401,100,70.69,13017.299276869122,2417982.7007231307
IVF_PQ,16,401,1,24.84,9466.886355941768,7006533.113644058
IVF_PQ,16,401,40,80.85,12830.93395331763,1402169.066046683
IVF_PQ,16,401,100,81.13,11895.022829755253,1375104.9771702453
IVF_PQ,32,401,1,24.86,8131.174999515344,7005868.8250004845
IVF_PQ,32,401,40,87.95,10971.81123783614,694028.1887621636
IVF_PQ,32,401,100,88.42,9201.667324821201,648798.3326751787
IVF_PQ,64,401,1,24.88,4479.753919767591,7007520.246080233
IVF_PQ,64,401,40,93.86,8378.721109091272,105621.27889090878
IVF_PQ,64,401,100,94.44,5589.647773764943,50410.352226235285
IVF_PQ,128,401,1,24.88,2689.05287318002,7009310.94712682
IVF_PQ,128,401,40,97.24,4387.163716999289,-4384.923716999289
IVF_PQ,128,401,100,98.1,2450.087037794264,-2446.987037794264
IVF_PQ,1,501,1,24.64,13453.630998203747,7022546.3690017965
IVF_PQ,1,501,50,49.5,15126.055753903855,4534873.944246097
