index_type,m,nlist,nprobe,recall,query_pre_sec,loss
"IVF_PQ",2,15101,1,24.76,13499.530093337624,7037499.5300933365
"IVF_PQ",2,15101,1510,55.37,10538.452261306533,3973538.452261307
"IVF_PQ",2,15101,100,55.37,15016.662489706778,3978016.662489707
"IVF_PQ",4,15101,1,24.81,13632.476354535704,7032632.476354536
"IVF_PQ",4,15101,1510,61.47,9133.14171239439,3362133.1417123945
"IVF_PQ",4,15101,100,61.47,13405.47174635643,3366405.471746356
"IVF_PQ",8,15101,1,24.83,11610.208713945634,7028610.208713946
"IVF_PQ",8,15101,1510,70.69,9623.494860499266,2440623.494860499
"IVF_PQ",8,15101,100,70.69,12248.6464386882,2443248.646438688
"IVF_PQ",16,15101,1,24.84,2562.862572331156,7018562.862572331
"IVF_PQ",16,15101,1510,81.13,4400.096513957807,1391400.0965139582
"IVF_PQ",16,15101,100,81.13,10191.728629051853,1397191.7286290524
"IVF_PQ",32,15101,1,24.86,7764.928909952607,7021764.928909953
"IVF_PQ",32,15101,1510,88.42,6154.698597170864,664154.6985971708
"IVF_PQ",32,15101,100,88.42,9120.82807811073,667120.8280781106
"IVF_PQ",64,15101,1,24.88,3933.2908211110694,7015933.290821111
"IVF_PQ",64,15101,1510,94.44,2428.271038858784,58428.271038859006
"IVF_PQ",64,15101,100,94.44,4331.079490303794,60331.07949030402
"IVF_PQ",128,15101,1,24.88,2745.682115737104,7014745.682115737
"IVF_PQ",128,15101,1510,98.1,1058.1255833900957,1061.2255833900956
"IVF_PQ",128,15101,100,98.1,2324.2678311176624,2327.3678311176623
"IVF_PQ",1,15201,1,24.64,13229.573555387333,7049229.573555388
"IVF_PQ",1,15201,1520,49.5,11465.172347811826,4561465.172347812
